notification_date,age_group,confirmed_by_pcr,confirmed_cases_count
2020-04-24,AgeGroup_45-49,N/A,1
2020-04-24,AgeGroup_50-54,N/A,1
2020-04-24,AgeGroup_60-64,N/A,2
2020-04-24,AgeGroup_65-69,N/A,2
2020-04-24,AgeGroup_70+,N/A,6
2020-04-25,AgeGroup_20-24,N/A,1
2020-04-25,AgeGroup_55-59,N/A,1
2020-04-25,AgeGroup_60-64,N/A,1
2020-04-26,AgeGroup_65-69,N/A,1
2020-04-27,AgeGroup_0-19,N/A,2
2020-04-27,AgeGroup_30-34,N/A,1
2020-04-27,AgeGroup_45-49,N/A,1
2020-04-27,AgeGroup_50-54,N/A,1
2020-04-28,AgeGroup_0-19,N/A,3
2020-04-28,AgeGroup_20-24,N/A,2
2020-04-28,AgeGroup_25-29,N/A,1
2020-04-28,AgeGroup_40-44,N/A,1
2020-04-28,AgeGroup_50-54,N/A,1
2020-04-28,AgeGroup_55-59,N/A,1
2020-04-28,AgeGroup_60-64,N/A,1
2020-04-29,AgeGroup_20-24,N/A,1
2020-04-29,AgeGroup_25-29,N/A,1
2020-04-29,AgeGroup_70+,N/A,1
2020-04-30,AgeGroup_20-24,N/A,1
2020-04-30,AgeGroup_25-29,N/A,1
2020-04-30,AgeGroup_40-44,N/A,3
2020-04-30,AgeGroup_55-59,N/A,1
2020-04-30,AgeGroup_60-64,N/A,1
2020-04-30,AgeGroup_70+,N/A,8
2020-05-01,AgeGroup_25-29,N/A,1
2020-05-01,AgeGroup_70+,N/A,1
2020-05-02,AgeGroup_0-19,N/A,1
2020-05-02,AgeGroup_55-59,N/A,1
2020-05-03,AgeGroup_0-19,N/A,1
2020-05-04,AgeGroup_20-24,N/A,1
2020-05-04,AgeGroup_25-29,N/A,2
2020-05-04,AgeGroup_30-34,N/A,1
2020-05-05,AgeGroup_0-19,N/A,1
2020-05-05,AgeGroup_25-29,N/A,1
2020-05-05,AgeGroup_30-34,N/A,1
2020-05-05,AgeGroup_60-64,N/A,1
2020-05-05,AgeGroup_65-69,N/A,1
2020-05-06,AgeGroup_30-34,N/A,2
2020-05-06,AgeGroup_40-44,N/A,1
2020-05-07,AgeGroup_0-19,N/A,1
2020-05-07,AgeGroup_40-44,N/A,1
2020-05-08,AgeGroup_30-34,N/A,1
2020-05-08,AgeGroup_45-49,N/A,1
2020-05-08,AgeGroup_70+,N/A,2
2020-05-09,AgeGroup_60-64,N/A,1
2020-05-10,AgeGroup_40-44,N/A,1
2020-05-12,AgeGroup_40-44,N/A,1
2020-05-12,AgeGroup_50-54,N/A,1
2020-05-12,AgeGroup_55-59,N/A,2
2020-05-12,AgeGroup_60-64,N/A,1
2020-05-13,AgeGroup_0-19,N/A,2
2020-05-13,AgeGroup_25-29,N/A,1
2020-05-13,AgeGroup_35-39,N/A,1
2020-05-14,AgeGroup_30-34,N/A,1
2020-05-14,AgeGroup_35-39,N/A,1
2020-05-14,AgeGroup_70+,N/A,1
2020-05-15,AgeGroup_30-34,N/A,1
2020-05-15,AgeGroup_35-39,N/A,1
